sample	TCGA-BT-A20R-11	TCGA-GD-A3OP-11	TCGA-BT-A20U-11	TCGA-K4-A3WV-11	TCGA-CU-A0YN-11	TCGA-BL-A13J-11	TCGA-K4-A54R-11	TCGA-BT-A20N-11	TCGA-GD-A3OQ-11	TCGA-BT-A2LB-11	TCGA-BT-A20W-11	TCGA-CU-A0YR-11	TCGA-BT-A2LA-11	TCGA-K4-A5RI-11	TCGA-GC-A3WC-11	TCGA-GC-A6I3-11	TCGA-GD-A2C5-11	TCGA-BT-A20Q-11	TCGA-GC-A3BM-11
COL7A1	-1.166248084	2.047151916	3.313351916	1.378751916	-1.812348084	-3.529448084	1.950451916	-1.202948084	2.075751916	2.123051916	1.618251916	-0.721948084	0.267651916	1.573051916	0.823251916	4.056551916	0.019251916	-0.035648084	2.787451916
GTSE1	-3.721711689	-2.687311689	0.060188311	-4.649311689	1.177888311	-5.185111689	-5.406011689	-6.260311689	-2.821711689	-0.659611689	0.549288311	-1.985411689	-1.299611689	-0.843111689	-2.069611689	0.501888311	-0.387711689	-4.729611689	-1.632611689
ARFRP1	0.194238627	0.118638627	-0.181061373	0.321138627	-0.257761373	-0.012161373	-0.343661373	0.002938627	-0.266061373	-0.461261373	-0.268061373	0.051338627	0.328938627	0.498138627	0.125338627	1.817538627	0.087138627	-0.025761373	-0.288461373
ITGA3	-1.127473274	0.629826726	-0.993873274	1.195426726	-1.233273274	-1.267373274	2.428926726	-0.747373274	1.133626726	0.076926726	1.301626726	0.297126726	1.701826726	0.772726726	0.554126726	0.661026726	1.145626726	-0.103273274	1.370426726
ITGA5	5.80224643	-0.27675357	1.52784643	-0.22045357	4.08184643	4.46104643	2.21724643	4.92954643	1.56784643	1.49564643	1.83284643	3.06034643	1.63164643	2.36414643	3.51344643	1.15604643	0.09904643	4.59984643	2.86244643
LOC100132287	-1.1010897	0.4540103	1.3068103	0.0601103	-1.9221897	-1.1205897	0.3217103	-0.9530897	0.2218103	0.4452103	-1.8698897	-0.9379897	-0.3350897	0.1101103	-0.0779897	-0.1417897	-0.0803897	-1.0871897	0.2358103
PHLDA3	0.022940094	1.488540094	1.487640094	1.200940094	1.038840094	0.861740094	1.474640094	0.785540094	0.854640094	0.981640094	0.550340094	0.942540094	1.685540094	1.124240094	1.053540094	1.628140094	0.662540094	1.193340094	0.563640094
SQLE	-2.519401381	-1.829101381	1.182698619	-0.464901381	-2.131701381	-4.428501381	-0.020301381	-2.966301381	-1.546101381	0.981898619	0.203498619	-2.684601381	-0.864001381	-1.295501381	-2.873101381	0.212798619	0.046798619	-2.961801381	-0.651301381
FBXL12	0.114993234	0.657393234	-0.285206766	0.731793234	0.082693234	0.338793234	1.027493234	0.164993234	0.495693234	0.437493234	0.064593234	0.202093234	1.201893234	0.645793234	0.477793234	-0.282906766	0.896293234	0.452793234	1.168193234
KIAA0895L	-0.120329231	0.300670769	0.375470769	0.572470769	-1.465229231	-1.011529231	1.006870769	-1.000929231	0.462570769	-0.491529231	-0.833529231	-0.220729231	-0.405329231	0.255870769	-0.303729231	-0.141129231	-0.125229231	-1.305329231	0.715970769
COL4A5	3.931887811	2.359587811	1.501987811	1.463187811	3.654387811	3.202987811	3.561487811	3.633087811	3.493087811	0.623987811	3.166787811	3.434387811	1.959187811	2.233487811	3.467087811	0.362087811	2.079587811	3.460987811	3.762387811
GPSM2	-1.001842614	0.105657386	1.202257386	-0.461042614	0.790257386	-0.344142614	-1.452242614	-0.462342614	-0.217442614	0.969057386	0.149957386	-0.858042614	-0.033742614	-1.115742614	-0.708042614	-0.204442614	0.399257386	-0.129542614	-0.669542614
LIPG	0.606745057	-2.539554943	-2.307354943	-2.644154943	-4.087654943	-5.014954943	1.423845057	-2.481454943	-0.086454943	-1.114854943	1.047545057	-2.731254943	-0.545754943	0.443545057	-1.078654943	1.061645057	-3.392354943	-6.996954943	-0.671354943
FAM134C	-1.661672025	0.104027975	0.121327975	0.558627975	-0.691972025	-0.465872025	-1.148672025	-0.938972025	0.304127975	-0.308272025	-0.092672025	-0.373172025	0.522827975	-0.418672025	-0.195972025	0.531427975	0.766227975	-0.506672025	-0.169572025
TRERF1	0.511999266	1.675799266	1.791399266	2.041899266	0.461199266	-0.329900734	1.830999266	0.011099266	2.942199266	1.599099266	1.275499266	1.048499266	1.764699266	1.162599266	1.328899266	-0.266900734	1.683799266	0.510799266	2.418699266
SMAD3	-0.100957011	1.226342989	1.212342989	1.417242989	0.248842989	0.109442989	2.288642989	-0.058957011	0.881842989	1.540442989	0.823842989	0.453542989	1.179842989	1.069742989	0.690942989	0.040642989	0.845142989	-0.032357011	1.196542989
CKS1B	-1.395699906	-1.070299906	-1.071899906	-0.855599906	-0.091999906	-1.994099906	-1.542899906	-1.977399906	-1.330499906	-0.873399906	0.500400094	-0.889599906	-0.718099906	-0.722499906	-1.241399906	2.432200094	-0.604199906	-1.700699906	-1.153799906
HRH3	-1.374679782	0.658720218	-0.023979782	4.895020218	-1.374679782	-0.577579782	1.545820218	-1.374679782	2.994120218	-1.374679782	5.859820218	-0.707279782	1.927020218	-0.806779782	-0.259479782	1.283420218	1.725620218	-1.374679782	-0.662079782
COX4I1	0.114454819	0.523554819	1.081454819	0.688654819	-0.004145181	0.044254819	0.287954819	0.066554819	0.024554819	0.526654819	0.171654819	0.339654819	1.385154819	0.622554819	0.412254819	1.809054819	0.012554819	0.062354819	0.276554819
ZC3H18	-0.365060835	-0.004560835	-0.099760835	-0.049560835	0.136839165	-0.012460835	0.316639165	0.072139165	-0.159660835	0.056539165	0.167039165	-0.147060835	-0.482060835	-0.104960835	0.084039165	-0.194060835	0.139339165	0.146639165	-0.264760835
SIPA1	-0.844014155	-0.140114155	0.008985845	-0.252214155	-0.220214155	-0.741014155	-0.738814155	-0.414314155	-0.252514155	0.145385845	0.169385845	-0.225914155	0.565385845	1.019885845	0.272585845	2.523685845	0.028685845	-0.463114155	-0.152014155
ATP1A4	1.765462794	-1.325237206	-1.325237206	5.756462794	-0.539837206	-0.017737206	6.278762794	-0.418437206	7.168862794	-0.378437206	4.343262794	4.151462794	7.722662794	4.679162794	3.208162794	1.942662794	3.425262794	-0.411937206	5.799962794
CBLC	-5.757406578	3.777993422	3.769593422	3.949493422	-6.238406578	-6.238406578	4.026493422	-6.238406578	2.726993422	3.377893422	1.610793422	0.111893422	3.987593422	2.362893422	2.106793422	5.551193422	3.258793422	-4.770206578	2.804193422
SPHK1	1.675042677	-0.579757323	0.744942677	-3.289557323	-1.173257323	-0.767157323	0.463842677	-0.684657323	-2.789557323	1.234442677	-0.837057323	0.082242677	-1.872757323	1.337942677	-0.967757323	2.359142677	-0.978757323	-0.912357323	-0.251557323
LOC100129637	-0.601793945	-0.032993945	-0.598393945	0.522606055	-0.602093945	-0.530193945	0.163906055	-0.578993945	0.319806055	0.161606055	-0.836093945	-0.447793945	-1.269693945	-0.316393945	-0.238193945	0.891706055	-0.677593945	-0.238393945	-0.233693945
RHEBL1	-3.274526204	-0.699726204	-3.575626204	-2.024626204	-1.494326204	-2.421626204	-2.922226204	-4.403626204	-1.082026204	-2.317226204	-0.149426204	-1.749626204	-2.583326204	0.131873796	-0.497326204	0.513673796	0.949473796	-1.748226204	-3.691026204
FBRS	-0.309782201	0.441517799	0.715317799	0.306817799	-0.401682201	-0.226982201	0.598817799	-0.182582201	0.032117799	1.175417799	-0.159482201	-0.212082201	0.817617799	0.273617799	0.099817799	0.680617799	0.422517799	-0.069482201	0.435317799
POU5F1B	-2.669122084	0.277077917	0.694177917	1.812977917	-4.038122084	-2.730622084	0.564577917	-4.038122084	0.868377917	0.357377917	-0.525722083	-0.954622083	0.747577917	0.268577917	-0.669422083	0.806677917	0.429977917	-2.036822084	0.046677917
SLC27A4	-1.479302193	0.296197807	2.094397807	-0.064002193	-0.635602193	-0.882102193	0.502397807	-0.746802193	-0.312102193	1.359197807	-0.132302193	-0.606102193	0.767797807	0.083797807	-0.527302193	0.947197807	0.304597807	-0.477802193	-0.435402193
MCM10	-3.42662881	-2.70352881	0.34687119	-5.90832881	0.67687119	-6.51732881	-3.71542881	-3.51752881	-2.14852881	0.48367119	1.99377119	-2.43992881	-1.54552881	-1.24572881	-2.13702881	1.87357119	0.42997119	-6.51732881	-1.21992881
THUMPD2	-0.409856543	0.008443457	0.219543457	0.610043457	-0.901656543	-0.119356543	0.567743457	-0.239856543	0.035743457	0.067443457	-0.782456543	-0.044256543	0.015043457	0.145943457	0.216543457	0.172743457	-0.391456543	-0.071156543	-0.198956543
ATG4D	-1.301371869	1.023728131	1.218328131	0.449328131	-1.298571869	-1.166071869	0.687328131	-1.087071869	-0.104571869	1.146528131	-0.337971869	-0.845371869	1.198328131	0.449428131	-0.107871869	0.931028131	0.465628131	-1.073171869	0.521028131
UPK2	-0.002858393	8.491541607	4.318841607	10.87514161	0.074441607	-1.728958393	9.171141607	-2.526058393	10.15794161	4.762841607	7.803741607	5.495341607	8.634041607	6.258441607	5.931041607	6.444541607	9.686141607	0.486041607	7.732341607
RNF128	-5.513412322	3.139787679	2.233887679	4.147487679	-5.306612322	-6.470912322	3.139487679	-6.361212322	3.448987679	0.682087679	3.350287679	0.931387679	4.181287679	2.734287679	1.502087679	2.497187679	3.806687679	-7.268012322	3.604687679
SIDT1	-2.403212087	2.681387913	1.518187913	3.045787913	-1.775712087	-1.257412087	1.652487913	-0.781012087	2.642287913	0.783787913	1.098887913	0.199787913	1.407587913	1.657487913	1.391387913	1.575387913	1.641687913	-1.999312087	2.006187913
PM20D1	1.519944401	4.596544401	-0.465855599	4.777244401	-0.525455599	0.165444401	6.629144401	-0.357255599	5.167944401	0.419344401	3.670044401	3.601744401	6.922044401	7.728944401	-1.153755599	6.476944401	7.480344401	-0.348355599	5.049044401
WASH3P	-0.199259298	0.355540702	-0.483159298	1.296840702	-0.559859298	-0.316459298	0.054040702	-0.822459298	0.306140702	-0.547759298	-0.135459298	0.647240702	-0.088159298	0.130740702	0.554340702	1.928740702	-0.431259298	-0.108759298	0.072640702
CNPY2	-1.447622474	-0.480722474	-0.420222474	0.130677526	-1.376322474	-1.400722474	-1.285322474	-1.533622474	-0.656222474	-0.806522474	-0.198722474	-1.001422474	-0.055322474	-0.103722474	-0.947022474	0.614177526	-0.109822474	-1.670022474	-1.156722474
HMG20B	-0.283581428	-0.031681428	-0.210081428	0.107118572	0.039318572	-0.401181428	-0.426081428	-0.550581428	-0.495081428	0.070018572	-0.659481428	-0.268881428	0.305718572	-0.074281428	-0.249481428	0.641118572	0.264118572	-0.086181428	-0.454581428
C4orf19	-2.867888646	3.457211354	1.756511354	2.634511354	-2.194088646	-2.341288646	1.283911354	-2.632088646	1.513411354	1.532411354	1.224911354	-0.650988646	1.341011354	0.625811354	1.614611354	1.654411354	2.922111354	-4.807988646	0.406011354
C3orf75	-0.652957292	0.232742708	0.007142708	0.278842708	0.576642708	-0.390057292	-0.516857292	-0.462157292	0.061942708	-0.232857292	0.020142708	0.029342708	0.711542708	-0.102657292	0.026642708	0.855542708	-0.076357292	-0.290057292	-0.309357292
C3orf72	1.174173679	-1.555726321	1.585073679	3.657373679	-0.317226321	-1.982026321	-1.982026321	0.850673679	-1.982026321	-1.982026321	-1.351726321	-1.314626321	-1.099226321	-1.982026321	-1.319226321	-1.247326321	-1.497926321	0.198673679	-1.269426321
ZNF222	1.225446898	0.431046898	-0.919353102	1.604246898	-0.023253102	0.128246898	0.713246898	0.099346898	1.125046898	-0.644853102	0.372746898	-0.048253102	1.037146898	0.803046898	0.089046898	0.362246898	0.603546898	-0.339553102	0.985646898
KHDRBS1	0.372853632	0.072253632	0.018553632	0.088753632	0.058853632	0.070253632	0.228553632	-0.062146368	-0.190346368	0.028153632	0.253453632	0.235053632	0.443953632	0.172153632	0.078953632	0.384453632	0.113953632	-0.175246368	0.365953632
TBL1Y	-0.860806329	-0.860806329	-0.860806329	-0.860806329	-0.860806329	-0.860806329	2.898893671	0.045993671	4.045693671	-0.860806329	-0.230506329	-0.193406329	2.865593671	-0.860806329	-0.860806329	-0.860806329	-0.860806329	-0.860806329	3.111093671
GPR78	-0.566984955	1.272215045	6.572915045	-0.566984955	-0.566984955	-0.566984955	2.915715045	-0.566984955	3.195015045	5.331515045	0.063315045	-0.566984955	0.859415045	0.983715045	0.892115045	-0.566984955	-0.082884955	-0.566984955	0.977115045
UQCRHL	0.176188849	-0.083111151	1.260888849	0.537188849	-0.493311151	-0.360911151	-0.457411151	-0.296711151	-0.375711151	0.431288849	0.019288849	-0.208911151	0.980788849	-0.012511151	-0.113711151	1.015888849	0.630488849	-0.697711151	0.160288849
RUNX2	-3.384438197	2.082161803	-0.137238197	0.351461803	-3.540538197	-2.527438197	0.371561803	-3.695238197	0.451061803	0.127361803	1.079361803	-0.576038197	0.301761803	0.775761803	-0.120638197	0.236561803	0.907761803	-3.503238197	1.388861803
IGFBP3	0.164102575	0.745002575	0.559102575	1.452202575	-0.168397425	-0.533897425	2.331702575	-1.167797425	0.181802575	0.339902575	1.265502575	0.516502575	1.981002575	1.421202575	2.225302575	2.147102575	4.224002575	-1.185997425	1.646902575
IGFBP4	2.001128904	1.261928904	0.072928904	0.961528904	2.248728904	1.833628904	0.548628904	1.929528904	0.874728904	0.971228904	2.372928904	2.068728904	1.525428904	2.558628904	1.334728904	2.889328904	1.407328904	1.266328904	0.961228904
SKP2	-2.268117401	-0.851517401	0.050082599	0.084082599	-0.207717401	-1.099517401	-0.873817401	-1.252217401	0.538682599	-0.560317401	0.560182599	-0.812117401	-0.756617401	-0.668817401	-0.889317401	-0.287617401	-0.046617401	-1.167317401	-0.151017401
CKLF	-1.081094405	-0.469094405	-0.850394405	-0.045094405	-0.207494405	-1.466594405	-0.830094405	-1.110494405	-0.455094405	-1.214794405	0.132105595	-0.693194405	-0.077394405	0.095305595	-0.701994405	0.949205595	0.080405595	-1.471094405	-0.492294405
ZNF193	-0.989011502	0.023388498	-0.668511502	0.684888498	-0.573411502	0.168488498	0.071288498	-0.551211502	0.337388498	-0.856011502	0.035188498	-0.283211502	0.692688498	-0.128611502	0.453188498	-0.754511502	0.627388498	-0.241011502	0.553688498
C15orf23	-2.44474867	-0.91944867	0.15515133	-0.98804867	1.05545133	-0.99134867	-3.42074867	-1.90334867	-1.08654867	-1.10474867	0.15745133	-1.61594867	-0.63454867	-1.42694867	-1.56314867	-0.99364867	-0.23074867	-1.84474867	-1.39344867
C15orf21	0.170816473	-0.851483527	0.436616473	-0.331883527	0.566216473	-0.365883527	-1.509383527	-0.563283527	-0.507283527	-0.061883527	0.427616473	0.005416473	-0.160483527	-0.736983527	0.074716473	0.640316473	0.486916473	-0.917283527	0.142316473
STMN1	-2.579395661	-1.854995661	0.048204339	-1.840195661	-0.025595661	-2.399595661	-2.445495661	-2.550295661	-1.819295661	-0.105695661	0.742704339	-1.295195661	0.584404339	-1.130095661	-1.443995661	0.382904339	0.844604339	-2.773695661	-1.990995661
ZNF642	-0.494604776	-0.749804776	-0.435904776	0.022195224	0.445795224	0.238295224	-1.574704776	0.320295224	-0.023304776	-1.323304776	-0.893704776	-0.034604776	-0.468804776	-0.194904776	-0.047104776	-0.155604776	0.744895224	0.585395224	-0.534104776
TMC4	-4.646730347	3.001469653	1.445169653	3.392669653	-5.137630347	-5.827230347	3.366869653	-5.464430347	2.630769653	1.093169653	0.450069653	0.563969653	3.513569653	1.726069653	1.886069653	0.237169653	3.101369653	-5.769330347	2.523369653
TMC6	-2.864714873	0.513685127	0.030485127	-0.029714873	-3.014714873	-3.457614873	-0.097114873	-2.321614873	-0.388614873	-0.202514873	-0.317114873	-1.187914873	0.141485127	0.483485127	-0.327614873	2.205185127	0.757385127	-4.210614873	-0.683814873
C20orf54	-0.795009793	1.939690207	1.842490207	1.981890207	-2.398009793	-2.591409793	0.890190207	-2.936809793	2.280890207	0.692390207	1.413090207	0.020590207	1.292490207	0.583190207	0.939090207	0.834890207	2.108490207	-2.294709793	0.958590207
LOC389791	-1.813633445	0.405866555	1.272466555	1.016966555	-2.294633445	-0.312633445	-0.533533445	-1.387833445	0.026966555	-1.744933445	-1.227033445	-0.549233445	-2.294633445	0.829466555	0.050666555	0.638966555	-1.159633445	-2.294633445	-2.294633445
MECOM	-0.64192906	3.07847094	1.90967094	2.94887094	0.26077094	0.40717094	3.22167094	-0.64852906	3.34507094	1.13207094	2.32127094	1.71047094	2.51027094	2.08507094	1.61277094	1.35127094	3.18877094	-0.73712906	2.98997094
LOC440944	-0.351653656	-0.058153656	-0.424553656	0.146646344	-1.113653656	-1.046353656	0.599946344	-0.725253656	0.083746344	-0.847353656	-0.726953656	-0.691453656	-0.858753656	-0.183053656	-0.262653656	0.149846344	-0.532753656	-0.911953656	0.299546344
CLIC3	-2.716537971	3.862362029	6.598662029	1.917062029	-1.786937971	-3.509537971	-1.135837971	-2.588937971	-0.393137971	6.451062029	0.368862029	-1.661137971	-1.511937971	0.117562029	-0.332537971	1.415662029	0.603862029	-1.997837971	-1.007937971
KIAA0020	0.797335076	0.413935076	0.260235076	0.255135076	-0.616164924	-0.429964924	0.897135076	0.486735076	-0.007164924	0.993135076	0.158435076	-0.333664924	0.420635076	0.179735076	-0.121064924	0.898135076	-0.296664924	-0.934564924	0.350435076
TMEM147	-0.968465439	-0.265865439	0.203234561	0.101334561	-0.886065439	-0.840365439	-0.374165439	-0.865365439	-0.351065439	0.238234561	0.067834561	-0.492265439	0.829334561	-0.037065439	-0.393265439	1.260534561	0.597634561	-0.921365439	-0.653865439
FOXL2	-0.494594288	-2.409194288	3.379105712	1.657405712	-1.623794288	-1.612094288	-1.275194288	-1.502394288	-2.409194288	-1.462394288	-0.135494288	-2.409194288	-0.588894288	-0.858494288	-2.409194288	0.954805712	-1.925094288	-1.495894288	-1.696594288
KRTCAP3	-7.16932913	2.15267087	2.08037087	2.10237087	-5.87822913	-7.16932913	2.11067087	-7.16932913	1.20967087	0.82337087	0.62747087	-1.04372913	2.99377087	1.37347087	-1.23722913	2.37247087	1.48927087	-5.30132913	2.02247087
RTKN2	-4.828767491	-0.144767491	1.814932509	-3.034067491	-0.194667491	-5.435867491	-1.563667491	-3.219967491	-1.836867491	1.898432509	1.236832509	-3.732767491	-1.255267491	0.118232509	-0.354467491	0.129532509	0.014932509	-5.830067491	-1.493667491
HAS2	3.781616208	2.280216208	0.563816208	-0.409283792	1.786716208	1.058416208	3.323516208	3.312716208	1.553216208	3.784416208	4.300616208	2.012016208	-0.564883792	2.841816208	2.254416208	2.617216208	2.346416208	1.727516208	2.353316208
FER1L4	-2.805721568	5.134978432	-0.360521568	6.194078432	-3.548521568	-4.071921568	6.900378432	-3.585921568	5.735678432	-0.093821568	2.110478432	1.023278432	3.908778432	4.125578432	3.565078432	4.854778432	4.216678432	-2.743621568	5.538878432
C19orf22	0.51452419	0.62732419	0.70832419	0.02492419	-0.79187581	-0.84047581	1.22872419	-0.37037581	-0.35577581	1.14322419	-0.03927581	-0.34537581	1.30092419	1.02162419	-0.04387581	1.54912419	1.00892419	-0.73397581	0.50902419
C19orf21	-6.06356874	4.12713126	-0.09826874	0.24853126	-6.40726874	-6.39556874	3.36423126	-7.19266874	0.50733126	1.75043126	1.59553126	-1.92036874	3.01073126	1.30653126	3.19953126	4.23293126	2.47123126	-6.27936874	2.98123126
C19orf24	-1.272319345	0.173780655	-0.125819345	-0.022419345	-1.075019345	-1.528419345	-0.823519345	-1.255819345	-0.506919345	-0.340719345	-0.394319345	-0.901719345	0.671180655	0.343780655	-0.448919345	2.106580655	-0.190419345	-1.149919345	-0.731819345
C19orf25	-1.598927835	-0.373427835	-0.722527835	0.070872165	-0.981227835	-0.978527835	-1.100727835	-1.319927835	-0.356627835	-1.239027835	-0.511327835	-1.016127835	-0.420327835	-0.407727835	-0.721127835	0.855172165	0.374672165	-0.921427835	-0.788727835
C19orf29	-0.518609021	0.099490979	-0.594109021	0.082890979	-0.504709021	-0.446509021	0.033390979	-0.277009021	-0.195309021	-0.248809021	-0.219309021	-0.399309021	-0.646809021	0.229090979	-0.270709021	0.356890979	0.510390979	-0.127709021	-0.012609021
ITGB1BP2	5.771555092	2.914955092	3.046155092	2.763055092	6.071755092	5.829655092	0.248055092	6.303955092	3.817455092	0.762455092	2.855055092	4.610755092	1.272055092	3.433755092	5.075355092	2.746255092	-0.063544908	5.999455092	1.948555092
RPL31	0.23094174	0.33254174	1.02014174	1.39304174	-0.61405826	0.11794174	0.49324174	0.09674174	0.21834174	0.27404174	0.41484174	0.36714174	1.65764174	1.03464174	0.29754174	1.09014174	0.01854174	-0.31815826	0.86534174
PCP4L1	3.830991767	7.757391767	6.125591767	6.876891767	4.208791767	1.642891767	6.474391767	3.057891767	6.118291767	5.279491767	3.090791767	4.359391767	7.109391767	5.513591767	4.927391767	7.135591767	5.426891767	2.525791767	6.013591767
C11orf10	-0.645516816	-0.263516816	0.137283184	-0.147816816	-0.754116816	-0.965916816	-0.803916816	-0.936416816	-0.492316816	-0.362416816	0.292083184	-0.570716816	0.376383184	0.193183184	-0.443216816	0.419783184	-0.211416816	-0.970016816	-0.303016816
OGFR	-1.115764604	0.560535396	-0.707964604	0.119335396	-0.796464604	-0.635764604	0.055035396	-0.857364604	-0.622564604	-0.274064604	-0.407264604	-0.728764604	0.165635396	0.552335396	-0.119564604	1.208935396	-0.099764604	-0.673764604	-0.477564604
RAC2	-0.944809653	0.202490347	0.591490347	0.389690347	-1.257409653	-1.004609653	-0.175509653	-0.427609653	0.269090347	1.037090347	1.155090347	0.805890347	0.326290347	2.332190347	1.353190347	2.692690347	1.197190347	-1.992009653	-0.192109653
MRPS18A	-0.825206321	0.841193679	0.273393679	0.437293679	-0.728106321	-0.531406321	-0.127206321	-0.669306321	-0.221106321	0.655893679	-0.336006321	-0.199706321	1.036093679	0.072693679	-0.057406321	0.791693679	0.459993679	-0.399306321	-0.346106321
NSUN2	-0.006602786	0.166997214	0.207497214	-0.007102786	-0.789502786	-0.578202786	0.534297214	-0.208802786	-0.206402786	0.410097214	0.081797214	-0.586602786	0.328297214	-0.147702786	-0.340402786	0.022697214	0.084197214	-0.427702786	-0.117102786
NSUN5	-1.218418861	-0.377618861	-0.459118861	-0.229118861	-0.533918861	-0.516018861	-0.617618861	-0.704818861	-0.690218861	-0.873718861	-0.451518861	-0.305018861	-0.184118861	-0.139118861	-0.212518861	1.296681139	-0.432018861	-0.457318861	-0.742718861
NSUN6	-0.705935334	1.287264666	-1.024535334	2.270764666	-0.761235334	-0.854235334	2.128464666	-0.752235334	1.447564666	-0.427935334	0.025064666	0.161664666	2.000264666	0.861464666	0.474964666	1.190464666	1.030764666	-0.932335334	1.772964666
TBC1D1	2.64008547	-0.11551453	-0.14521453	1.98878547	2.29758547	2.56578547	0.88008547	2.60698547	1.53488547	-0.58751453	1.00378547	1.72128547	1.39308547	0.78748547	1.57158547	0.69478547	0.85998547	2.54248547	1.00438547
RAD9A	-2.398670176	0.635629824	-0.081270176	0.254029824	-1.352070176	-1.156270176	-0.632770176	-1.855270176	0.119929824	-0.640470176	-0.714170176	-1.073870176	-0.191070176	-0.366070176	0.098429824	1.507329824	0.073429824	-0.479570176	0.006129824
ERGIC3	-0.681373203	0.023326797	-0.259073203	0.175026797	-0.723573203	-0.958773203	-0.116473203	-0.941973203	-0.371673203	-0.157773203	-0.059173203	-0.338773203	0.849326797	-0.008673203	-0.267473203	0.489526797	1.259026797	-1.132573203	0.157826797
CDR2L	0.129018728	1.317118728	0.949818728	0.149918728	0.175418728	0.055818728	0.642018728	-0.044681272	-0.208981272	0.120818728	0.828618728	-0.005281272	0.647818728	-0.052181272	0.588518728	-0.132581272	0.458618728	0.368418728	-0.192781272
PDF	-2.382673593	-0.092473593	0.096626407	-0.397673593	-1.467473593	-2.198973593	-0.944273593	-1.980273593	-0.821573593	0.087726407	0.019726407	-1.344073593	0.195726407	-0.229173593	-1.063973593	1.323826407	-0.417073593	-1.842073593	-1.278973593
GSDMB	-4.303235966	3.975864034	2.370464034	3.090364034	-3.536135966	-2.480935966	2.643664034	-3.727335966	0.853264034	-1.311535966	0.570064034	-0.256835966	2.748464034	2.067764034	1.819764034	2.662964034	2.707064034	-3.092735966	2.066264034
GSDMC	0.593451955	4.418351955	6.858551955	-1.139848045	-3.784148045	-3.784148045	1.297151955	-2.877348045	0.952451955	5.475051955	1.388551955	-1.604848045	-0.363948045	2.574151955	1.130151955	4.309851955	0.079451955	-2.870848045	0.127751955
